count_consonant,count_tone,count_vowel,date,description,id,internetarchive_url,jsondata,language_pk,markup_description,name,pk,source,source_url
14,0,8,,,1806,,{},1037,,Asháninka (SAPHON 1806),1397,,http://linguistics.berkeley.edu/~saphon/en/inv/Ashaninka.html
18,0,20,,,1428,,{},1564,,Asharon (GM 1428),658,,
20,0,6,,,1807,,{},500,,Ashéninka (SAPHON 1807),2154,,http://linguistics.berkeley.edu/~saphon/en/inv/AsheninkaA.html
18,0,10,,,1808,,{},877,,Ashéninka (SAPHON 1808),756,,http://linguistics.berkeley.edu/~saphon/en/inv/AsheninkaPe.html
22,0,8,,,1809,,{},514,,Ashéninka (SAPHON 1809),1908,,http://linguistics.berkeley.edu/~saphon/en/inv/AsheninkaPi.html
24,0,8,,,1810,,{},983,,Ashéninka (SAPHON 1810),1768,,http://linguistics.berkeley.edu/~saphon/en/inv/AsheninkaUc.html
22,0,6,,,270,,{},857,,ASHUSLAY (UPSID 270),2563,,http://web.phonetik.uni-frankfurt.de/L/L6814.html
14,0,5,,,54,,{},2041,,Asmat (SPA 54),2495,,https://archive.org/details/tml_SPA1979_phon
11,0,6,,,582,,{},2041,,ASMAT (UPSID 582),765,,http://web.phonetik.uni-frankfurt.de/L/L8601.html
22,0,15,,,1706,,{},480,,Assamese (RA 1706),2404,,
22,0,14,,,2598,,{},480,,Assamese (Standard) (EA 2598),2179,,http://eurphon.info/languages/html?lang_id=112
23,0,10,,,2159,,{},480,,Assamese (UZ 2159),2151,,
20,0,7,,,2571,,{},575,,Asturian (North-Eastern) (EA 2571),2160,,http://eurphon.info/languages/html?lang_id=406
19,0,7,,,2516,,{},575,,Asturian (Western) (EA 2516),421,,http://eurphon.info/languages/html?lang_id=6
11,0,5,,,2074,,{},1597,,Asuriní do Tocantins (SAPHON 2074),155,,http://linguistics.berkeley.edu/~saphon/en/inv/AsuriniT.html
16,0,11,,,2073,,{},976,,Asurini do Xingú (SAPHON 2073),2609,,http://linguistics.berkeley.edu/~saphon/en/inv/AsuriniX.html
18,0,8,,,2919,,{},1491,,Atampaya (ER 2919),1171,,
18,0,6,,,2373,,{},1556,,Atayal (EA 2373),2509,,http://eurphon.info/languages/html?lang_id=178
19,0,8,,,30,,{},1556,,Atayal (SPA 30),440,,https://archive.org/details/tay_SPA1979_phon
19,0,7,,,562,,{},1556,,ATAYAL (UPSID 562),2698,,http://web.phonetik.uni-frankfurt.de/L/L2407.html
24,8,15,,,1550,,{},1975,,Attie (GM 1550),2394,,
